#Position (bp)	insert size
8547.5	500.0
8589.5	500.0
8631.5	500.0
8673.5	500.0
8715.5	500.0
8757.5	500.0
8799.5	500.0
8841.5	500.0
8883.5	500.0
8925.5	500.0
8967.5	500.0
9009.5	500.0
9051.5	500.0
9093.5	500.0
9135.5	500.0
9177.5	500.0
9219.5	500.0
9261.5	500.0
9303.5	500.0
9345.5	500.0
9387.5	500.0
9429.5	500.0
9471.5	500.0
9513.5	500.0
9555.5	500.0
9597.5	500.0
9639.5	500.0
9681.5	500.0
9723.5	500.0
9765.5	500.0
9807.5	500.0
9849.5	500.0
9891.5	500.0
9933.5	500.0
9975.5	500.0
10017.5	500.0
10059.5	500.0
10101.5	500.0
10143.5	500.0
10185.5	500.0
10227.5	500.0
10269.5	500.0
10311.5	500.0
10353.5	500.0
10395.5	500.0
10437.5	500.0
10479.5	500.0
10521.5	500.0
10563.5	500.0
10605.5	500.0
10647.5	500.0
10689.5	500.0
10731.5	500.0
10773.5	500.0
10815.5	500.0
10857.5	500.0
10899.5	500.0
10941.5	500.0
10983.5	500.0
11025.5	500.0
11067.5	500.0
11109.5	500.0
11151.5	500.0
11193.5	500.0
11235.5	500.0
11277.5	500.0
11319.5	500.0
11361.5	500.0
11403.5	500.0
11445.5	500.0
11487.5	500.0
11529.5	500.0
11571.5	500.0
11613.5	500.0
11655.5	500.0
11697.5	500.0
11739.5	500.0
11781.5	500.0
11823.5	500.0
11865.5	500.0
11907.5	500.0
11949.5	500.0
11991.5	500.0
12033.5	500.0
12075.5	500.0
12117.5	500.0
12159.5	500.0
12201.5	500.0
12243.5	500.0
12285.5	500.0
12327.5	500.0
12369.5	500.0
12411.5	500.0
12453.5	500.0
12495.5	500.0
12537.5	500.0
12579.5	500.0
12621.5	500.0
12663.5	500.0
12705.5	500.0
12747.5	500.0
12789.5	500.0
12831.5	500.0
12873.5	500.0
12915.5	500.0
12957.5	500.0
12999.5	500.0
13041.5	500.0
13083.5	500.0
13125.5	500.0
13167.5	500.0
13209.5	500.0
13251.5	500.0
13293.5	500.0
13335.5	500.0
13377.5	500.0
13419.5	500.0
13461.5	500.0
13503.5	500.0
13545.5	500.0
13587.5	500.0
13629.5	500.0
13671.5	500.0
13713.5	500.0
13755.5	500.0
13797.5	500.0
13839.5	500.0
13881.5	500.0
13923.5	500.0
13965.5	500.0
14007.5	500.0
14049.5	500.0
14091.5	500.0
14133.5	500.0
14175.5	500.0
14217.5	500.0
14259.5	500.0
14301.5	500.0
14343.5	500.0
14385.5	500.0
14427.5	500.0
14469.5	500.0
14511.5	500.0
14553.5	500.0
14595.5	500.0
14637.5	500.0
14679.5	500.0
14721.5	500.0
14763.5	500.0
14805.5	500.0
14847.5	500.0
14889.5	500.0
14931.5	500.0
14973.5	500.0
15015.5	500.0
15057.5	500.0
15099.5	500.0
15141.5	500.0
15183.5	500.0
15225.5	500.0
15267.5	500.0
15309.5	500.0
15351.5	500.0
15393.5	500.0
15435.5	500.0
15477.5	500.0
15519.5	500.0
15561.5	500.0
15603.5	500.0
15645.5	500.0
15687.5	500.0
15729.5	500.0
15771.5	500.0
15813.5	500.0
15855.5	500.0
15897.5	500.0
15939.5	500.0
15981.5	500.0
16023.5	500.0
16065.5	500.0
16107.5	0.0
16149.5	0.0
16191.5	0.0
16233.5	0.0
16275.5	0.0
16317.5	0.0
16359.5	0.0
16401.5	0.0
16443.5	0.0
16485.5	0.0
16527.5	0.0
16559.0	0.0
